<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GDAX.BTC-EUR;D;20190827;000000;9336.5300000;9348.0000000;9040.0000000;9185.9400000
GDAX.BTC-EUR;D;20190828;000000;9190.6000000;9289.0000000;8601.0100000;8787.0000000
GDAX.BTC-EUR;D;20190829;000000;8786.9500000;8786.9500000;8433.9800000;8586.1800000
GDAX.BTC-EUR;D;20190830;000000;8586.1800000;8855.1400000;8476.2800000;8732.0000000
GDAX.BTC-EUR;D;20190831;000000;8729.7400000;8820.0100000;8618.0000000;8737.2500000
GDAX.BTC-EUR;D;20190901;000000;8742.8600000;8967.3500000;8701.0000000;8898.0500000
GDAX.BTC-EUR;D;20190902;000000;8899.9800000;9550.0000000;8886.2500000;9475.0200000
GDAX.BTC-EUR;D;20190903;000000;9475.1100000;9838.3000000;9380.0000000;9685.3700000
GDAX.BTC-EUR;D;20190904;000000;9684.8400000;9800.0000000;9420.0000000;9585.6100000
GDAX.BTC-EUR;D;20190905;000000;9585.5900000;9644.9900000;9459.0000000;9589.9800000
GDAX.BTC-EUR;D;20190906;000000;9586.1200000;9900.0000000;9260.0000000;9360.0200000
GDAX.BTC-EUR;D;20190907;000000;9360.0300000;9585.9700000;9349.4200000;9511.3200000
GDAX.BTC-EUR;D;20190908;000000;9511.3200000;9605.0000000;9304.0000000;9449.9500000
GDAX.BTC-EUR;D;20190909;000000;9434.8400000;9545.2300000;9141.0000000;9343.7700000
GDAX.BTC-EUR;D;20190910;000000;9332.2600000;9407.0000000;9001.5400000;9139.7300000
GDAX.BTC-EUR;D;20190911;000000;9146.5600000;9300.0000000;8930.1000000;9234.5600000
GDAX.BTC-EUR;D;20190912;000000;9226.8400000;9480.0000000;9130.0000000;9444.8000000
GDAX.BTC-EUR;D;20190913;000000;9435.7100000;9449.0000000;9110.0000000;9350.8500000
GDAX.BTC-EUR;D;20190914;000000;9350.8600000;9410.0000000;9217.2400000;9352.4600000
GDAX.BTC-EUR;D;20190915;000000;9354.8200000;9369.8300000;9288.0000000;9300.0000000
GDAX.BTC-EUR;D;20190916;000000;9300.0000000;9450.0000000;9174.0000000;9332.8700000
GDAX.BTC-EUR;D;20190917;000000;9330.0500000;9389.3300000;9190.0000000;9217.2000000
GDAX.BTC-EUR;D;20190918;000000;9217.1400000;9270.0000000;9149.3300000;9214.6200000
GDAX.BTC-EUR;D;20190919;000000;9214.6200000;9433.7400000;8750.0000000;9304.3100000
GDAX.BTC-EUR;D;20190920;000000;9304.3100000;9339.9300000;9131.0000000;9239.2800000
GDAX.BTC-EUR;D;20190921;000000;9236.7300000;9241.7300000;9020.0000000;9067.9500000
GDAX.BTC-EUR;D;20190922;000000;9065.7800000;9161.8100000;8956.9900000;9124.3200000
GDAX.BTC-EUR;D;20190923;000000;9122.0100000;9135.4500000;8825.0000000;8970.3200000
GDAX.BTC-EUR;D;20190924;000000;8822.0000000;9095.0000000;7500.0000000;7815.2600000
GDAX.BTC-EUR;D;20190925;000000;7814.9300000;7998.7900000;7482.0200000;7724.2100000
GDAX.BTC-EUR;D;20190926;000000;7722.0600000;7768.0500000;7085.0000000;7377.5300000
GDAX.BTC-EUR;D;20190927;000000;7381.4100000;7575.7500000;7155.0800000;7495.1000000
GDAX.BTC-EUR;D;20190928;000000;7495.1000000;7625.0000000;7343.5600000;7526.3100000
GDAX.BTC-EUR;D;20190929;000000;7513.5300000;7535.5300000;7235.0000000;7380.3000000
GDAX.BTC-EUR;D;20190930;000000;7380.3000000;7680.0000000;7067.1200000;7637.7900000
GDAX.BTC-EUR;D;20191001;000000;7630.5300000;7859.0000000;7538.7100000;7643.3600000
GDAX.BTC-EUR;D;20191002;000000;7631.6200000;7669.0000000;7476.1700000;7649.0000000
GDAX.BTC-EUR;D;20191003;000000;7648.6300000;7689.4300000;7361.0000000;7520.0000000
GDAX.BTC-EUR;D;20191004;000000;7519.1100000;7519.9000000;7320.0000000;7429.3600000
GDAX.BTC-EUR;D;20191005;000000;7430.0000000;7460.0000000;7319.0000000;7428.3900000
GDAX.BTC-EUR;D;20191006;000000;7422.5200000;7448.8900000;7117.0000000;7168.2800000
GDAX.BTC-EUR;D;20191007;000000;7168.2800000;7570.0000000;7100.0000000;7489.4500000
GDAX.BTC-EUR;D;20191008;000000;7493.3000000;7599.0000000;7391.0100000;7479.9700000
GDAX.BTC-EUR;D;20191009;000000;7470.3000000;7920.0000000;7414.0100000;7833.9900000
GDAX.BTC-EUR;D;20191010;000000;7831.0000000;7869.4200000;7675.0000000;7815.6500000
GDAX.BTC-EUR;D;20191011;000000;7815.6300000;8030.4400000;7461.1300000;7500.0000000
GDAX.BTC-EUR;D;20191012;000000;7495.0000000;7628.9800000;7490.2700000;7539.1900000
GDAX.BTC-EUR;D;20191013;000000;7540.6100000;7685.0000000;7377.8600000;7527.0100000
GDAX.BTC-EUR;D;20191014;000000;7525.5000000;7635.7500000;7470.0000000;7579.0900000
GDAX.BTC-EUR;D;20191015;000000;7579.0800000;7633.3700000;7347.0000000;7400.2600000
GDAX.BTC-EUR;D;20191016;000000;7400.5000000;7421.3000000;7165.2100000;7228.5700000
GDAX.BTC-EUR;D;20191017;000000;7222.1400000;7311.3600000;7170.0000000;7269.0800000
GDAX.BTC-EUR;D;20191018;000000;7269.0000000;7298.8800000;7024.7500000;7129.3300000
GDAX.BTC-EUR;D;20191019;000000;7129.3300000;7253.9400000;7045.0000000;7125.1400000
GDAX.BTC-EUR;D;20191020;000000;7126.2800000;7449.9800000;7070.0000000;7386.4200000
GDAX.BTC-EUR;D;20191021;000000;7381.4900000;7494.8000000;7324.0000000;7377.2800000
GDAX.BTC-EUR;D;20191022;000000;7377.2900000;7468.3100000;7202.0100000;7219.4000000
GDAX.BTC-EUR;D;20191023;000000;7218.2300000;7249.2800000;6600.0100000;6726.5300000
GDAX.BTC-EUR;D;20191024;000000;6729.8200000;6769.9900000;6621.0000000;6700.0100000
GDAX.BTC-EUR;D;20191025;000000;6700.0000000;7949.1800000;6675.0000000;7810.5900000
GDAX.BTC-EUR;D;20191026;000000;7810.6400000;9430.0000000;7793.2600000;8313.8900000
GDAX.BTC-EUR;D;20191027;000000;8313.8700000;8826.5400000;8187.0000000;8580.3500000
GDAX.BTC-EUR;D;20191028;000000;8580.3500000;8890.4400000;8278.5400000;8300.0000000
GDAX.BTC-EUR;D;20191029;000000;8302.0300000;8614.0500000;8189.0000000;8493.1100000
GDAX.BTC-EUR;D;20191030;000000;8498.0600000;8498.2000000;8103.0000000;8220.0200000
GDAX.BTC-EUR;D;20191031;000000;8220.0100000;8457.7600000;8032.1100000;8221.4700000
GDAX.BTC-EUR;D;20191101;000000;8208.3700000;8335.0000000;8131.0000000;8298.5400000
GDAX.BTC-EUR;D;20191102;000000;8298.5400000;8426.8300000;8264.0000000;8342.6800000
GDAX.BTC-EUR;D;20191103;000000;8342.6900000;8400.0000000;8150.0000000;8253.0400000
GDAX.BTC-EUR;D;20191104;000000;8245.3300000;8605.0000000;8180.0000000;8463.9300000
GDAX.BTC-EUR;D;20191105;000000;8459.8600000;8525.0000000;8248.8500000;8420.1000000
GDAX.BTC-EUR;D;20191106;000000;8420.1000000;8524.0000000;8380.0000000;8448.9400000
GDAX.BTC-EUR;D;20191107;000000;8450.0600000;8470.0000000;8218.6500000;8328.5100000
GDAX.BTC-EUR;D;20191108;000000;8328.4400000;8369.7000000;7865.0000000;7970.2000000
GDAX.BTC-EUR;D;20191109;000000;7968.0000000;8065.7200000;7927.8900000;8003.2800000
GDAX.BTC-EUR;D;20191110;000000;8003.3600000;8298.9300000;7960.0000000;8198.7100000
GDAX.BTC-EUR;D;20191111;000000;8199.6200000;8237.2500000;7809.0100000;7910.9900000
GDAX.BTC-EUR;D;20191112;000000;7917.0000000;8066.0000000;7789.0000000;8003.0000000
GDAX.BTC-EUR;D;20191113;000000;8014.5400000;8028.5000000;7921.0000000;7967.8100000
GDAX.BTC-EUR;D;20191114;000000;7967.8000000;7985.0000000;7746.9100000;7839.8100000
GDAX.BTC-EUR;D;20191115;000000;7836.0000000;7964.0000000;7605.5300000;7662.9000000
GDAX.BTC-EUR;D;20191116;000000;7658.2800000;7730.0000000;7631.5500000;7683.6800000
GDAX.BTC-EUR;D;20191117;000000;7683.6700000;7830.0000000;7581.1300000;7699.6900000
GDAX.BTC-EUR;D;20191118;000000;7699.0000000;7703.3600000;7267.0100000;7390.0000000
GDAX.BTC-EUR;D;20191119;000000;7390.0000000;7421.5900000;7227.3100000;7333.7200000
GDAX.BTC-EUR;D;20191120;000000;7337.9700000;7500.0000000;7265.0600000;7293.6400000
GDAX.BTC-EUR;D;20191121;000000;7293.6400000;7330.0000000;6700.0000000;6896.7600000
GDAX.BTC-EUR;D;20191122;000000;6896.7600000;7022.5100000;6153.0000000;6628.1700000
GDAX.BTC-EUR;D;20191123;000000;6623.6500000;6691.1600000;6460.2700000;6663.1100000
GDAX.BTC-EUR;D;20191124;000000;6662.5300000;6682.2100000;6245.0900000;6290.3200000
GDAX.BTC-EUR;D;20191125;000000;6280.0000000;6726.3600000;5929.8200000;6481.5400000
GDAX.BTC-EUR;D;20191126;000000;6472.6800000;6679.8400000;6381.0000000;6510.1600000
GDAX.BTC-EUR;D;20191127;000000;6516.2200000;6986.9000000;6230.0100000;6848.1700000
GDAX.BTC-EUR;D;20191128;000000;6846.5000000;6995.8600000;6681.9200000;6762.1200000
GDAX.BTC-EUR;D;20191129;000000;6761.8500000;7200.0000000;6751.6800000;7047.7400000
GDAX.BTC-EUR;D;20191130;000000;7043.3900000;7118.9900000;6778.0000000;6874.0600000
GDAX.BTC-EUR;D;20191201;000000;6869.6900000;6877.6900000;6589.0000000;6734.2100000
